[INFO] 2025-10-02 09:10:06,511 django.utils.autoreload Watching for file changes with StatReloader
[INFO] 2025-10-02 09:10:44,225 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:44,516 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:45,566 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:46,064 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:46,535 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:46,957 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:47,233 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:47,303 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:47,382 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:47,471 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:47,896 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:47,932 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:48,216 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:48,287 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:48,633 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:48,670 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:48,890 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:49,227 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:49,441 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:49,873 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:50,151 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:51,016 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:51,388 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:52,215 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:53,009 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:53,595 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:53,980 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:54,086 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:54,371 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:54,941 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:55,467 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:55,865 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:56,467 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:56,583 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:56,726 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
